sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ESKİŞEHİR,ALPU,ADANA,ALADAĞ,0
ESKİŞEHİR,ALPU,ADANA,CEYHAN,0
ESKİŞEHİR,ALPU,ADANA,ÇUKUROVA,0
ESKİŞEHİR,ALPU,ADANA,FEKE,0
ESKİŞEHİR,ALPU,ADANA,İMAMOĞLU,0
ESKİŞEHİR,ALPU,ADANA,KARAİSALI,0
ESKİŞEHİR,ALPU,ADANA,KARATAŞ,0
ESKİŞEHİR,ALPU,ADANA,KOZAN,0
ESKİŞEHİR,ALPU,ADANA,POZANTI,0
ESKİŞEHİR,ALPU,ADANA,SAİMBEYLİ,0
ESKİŞEHİR,ALPU,ADANA,SARIÇAM,0
ESKİŞEHİR,ALPU,ADANA,SEYHAN,0
ESKİŞEHİR,ALPU,ADANA,TUFANBEYLİ,0
ESKİŞEHİR,ALPU,ADANA,YUMURTALIK,0
ESKİŞEHİR,ALPU,ADANA,YÜREĞİR,0
ESKİŞEHİR,ALPU,ADIYAMAN,BESNİ,0
ESKİŞEHİR,ALPU,ADIYAMAN,ÇELİKHAN,0
ESKİŞEHİR,ALPU,ADIYAMAN,GERGER,0
ESKİŞEHİR,ALPU,ADIYAMAN,GÖLBAŞI,0
ESKİŞEHİR,ALPU,ADIYAMAN,KAHTA,0
ESKİŞEHİR,ALPU,ADIYAMAN,MERKEZ,0
ESKİŞEHİR,ALPU,ADIYAMAN,SAMSAT,0
ESKİŞEHİR,ALPU,ADIYAMAN,SİNCİK,0
ESKİŞEHİR,ALPU,ADIYAMAN,TUT,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,BAŞMAKÇI,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,BAYAT,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,BOLVADİN,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,ÇAY,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,ÇOBANLAR,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,DAZKIRI,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,DİNAR,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,EMİRDAĞ,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,EVCİLER,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,HOCALAR,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,İHSANİYE,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,İSCEHİSAR,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,KIZILÖREN,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,MERKEZ,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,SANDIKLI,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,SİNANPAŞA,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,SULTANDAĞI,0
ESKİŞEHİR,ALPU,AFYONKARAHİSAR,ŞUHUT,0
ESKİŞEHİR,ALPU,AĞRI,DİYADİN,0
ESKİŞEHİR,ALPU,AĞRI,DOĞUBAYAZIT,0
ESKİŞEHİR,ALPU,AĞRI,ELEŞKİRT,0
ESKİŞEHİR,ALPU,AĞRI,HAMUR,0
ESKİŞEHİR,ALPU,AĞRI,MERKEZ,0
ESKİŞEHİR,ALPU,AĞRI,PATNOS,0
ESKİŞEHİR,ALPU,AĞRI,TAŞLIÇAY,0
ESKİŞEHİR,ALPU,AĞRI,TUTAK,0
ESKİŞEHİR,ALPU,AMASYA,GÖYNÜCEK,0
ESKİŞEHİR,ALPU,AMASYA,GÜMÜŞHACIKÖY,0
ESKİŞEHİR,ALPU,AMASYA,HAMAMÖZÜ,0
ESKİŞEHİR,ALPU,AMASYA,MERKEZ,0
ESKİŞEHİR,ALPU,AMASYA,MERZİFON,0
ESKİŞEHİR,ALPU,AMASYA,SULUOVA,0
ESKİŞEHİR,ALPU,AMASYA,TAŞOVA,0
ESKİŞEHİR,ALPU,ANKARA,AKYURT,0
ESKİŞEHİR,ALPU,ANKARA,ALTINDAĞ,0
ESKİŞEHİR,ALPU,ANKARA,AYAŞ,0
ESKİŞEHİR,ALPU,ANKARA,BALA,0
ESKİŞEHİR,ALPU,ANKARA,BEYPAZARI,0
ESKİŞEHİR,ALPU,ANKARA,ÇAMLIDERE,0
ESKİŞEHİR,ALPU,ANKARA,ÇANKAYA,0
ESKİŞEHİR,ALPU,ANKARA,ÇUBUK,0
ESKİŞEHİR,ALPU,ANKARA,ELMADAĞ,0
ESKİŞEHİR,ALPU,ANKARA,ETİMESGUT,0
ESKİŞEHİR,ALPU,ANKARA,EVREN,0
ESKİŞEHİR,ALPU,ANKARA,GÖLBAŞI,0
ESKİŞEHİR,ALPU,ANKARA,GÜDÜL,0
ESKİŞEHİR,ALPU,ANKARA,HAYMANA,0
ESKİŞEHİR,ALPU,ANKARA,KAHRAMANKAZAN,0
ESKİŞEHİR,ALPU,ANKARA,KALECİK,0
ESKİŞEHİR,ALPU,ANKARA,KEÇİÖREN,0
ESKİŞEHİR,ALPU,ANKARA,KIZILCAHAMAM,0
ESKİŞEHİR,ALPU,ANKARA,MAMAK,0
ESKİŞEHİR,ALPU,ANKARA,NALLIHAN,0
ESKİŞEHİR,ALPU,ANKARA,POLATLI,0
ESKİŞEHİR,ALPU,ANKARA,PURSAKLAR,0
ESKİŞEHİR,ALPU,ANKARA,SİNCAN,0
ESKİŞEHİR,ALPU,ANKARA,ŞEREFLİKOÇHİSAR,0
ESKİŞEHİR,ALPU,ANKARA,YENİMAHALLE,0
ESKİŞEHİR,ALPU,ANTALYA,AKSEKİ,0
ESKİŞEHİR,ALPU,ANTALYA,AKSU,0
ESKİŞEHİR,ALPU,ANTALYA,ALANYA,0
ESKİŞEHİR,ALPU,ANTALYA,DEMRE,0
ESKİŞEHİR,ALPU,ANTALYA,DÖŞEMEALTI,0
ESKİŞEHİR,ALPU,ANTALYA,ELMALI,0
ESKİŞEHİR,ALPU,ANTALYA,FİNİKE,0
