sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ADIYAMAN,BESNİ,ADANA,ALADAĞ,329
ADIYAMAN,BESNİ,ADANA,CEYHAN,248
ADIYAMAN,BESNİ,ADANA,ÇUKUROVA,293
ADIYAMAN,BESNİ,ADANA,FEKE,357
ADIYAMAN,BESNİ,ADANA,İMAMOĞLU,293
ADIYAMAN,BESNİ,ADANA,KARAİSALI,338
ADIYAMAN,BESNİ,ADANA,KARATAŞ,341
ADIYAMAN,BESNİ,ADANA,KOZAN,279
ADIYAMAN,BESNİ,ADANA,POZANTI,385
ADIYAMAN,BESNİ,ADANA,SAİMBEYLİ,281
ADIYAMAN,BESNİ,ADANA,SARIÇAM,300
ADIYAMAN,BESNİ,ADANA,SEYHAN,293
ADIYAMAN,BESNİ,ADANA,TUFANBEYLİ,257
ADIYAMAN,BESNİ,ADANA,YUMURTALIK,273
ADIYAMAN,BESNİ,ADANA,YÜREĞİR,293
ADIYAMAN,BESNİ,ADIYAMAN,BESNİ,
ADIYAMAN,BESNİ,ADIYAMAN,ÇELİKHAN,96
ADIYAMAN,BESNİ,ADIYAMAN,GERGER,146
ADIYAMAN,BESNİ,ADIYAMAN,GÖLBAŞI,25
ADIYAMAN,BESNİ,ADIYAMAN,KAHTA,79
ADIYAMAN,BESNİ,ADIYAMAN,MERKEZ,46
ADIYAMAN,BESNİ,ADIYAMAN,SAMSAT,93
ADIYAMAN,BESNİ,ADIYAMAN,SİNCİK,111
ADIYAMAN,BESNİ,ADIYAMAN,TUT,26
ADIYAMAN,BESNİ,AFYONKARAHİSAR,BAŞMAKÇI,932
ADIYAMAN,BESNİ,AFYONKARAHİSAR,BAYAT,856
ADIYAMAN,BESNİ,AFYONKARAHİSAR,BOLVADİN,817
ADIYAMAN,BESNİ,AFYONKARAHİSAR,ÇAY,805
ADIYAMAN,BESNİ,AFYONKARAHİSAR,ÇOBANLAR,835
ADIYAMAN,BESNİ,AFYONKARAHİSAR,DAZKIRI,949
ADIYAMAN,BESNİ,AFYONKARAHİSAR,DİNAR,909
ADIYAMAN,BESNİ,AFYONKARAHİSAR,EMİRDAĞ,854
ADIYAMAN,BESNİ,AFYONKARAHİSAR,EVCİLER,943
ADIYAMAN,BESNİ,AFYONKARAHİSAR,HOCALAR,955
ADIYAMAN,BESNİ,AFYONKARAHİSAR,İHSANİYE,889
ADIYAMAN,BESNİ,AFYONKARAHİSAR,İSCEHİSAR,879
ADIYAMAN,BESNİ,AFYONKARAHİSAR,KIZILÖREN,919
ADIYAMAN,BESNİ,AFYONKARAHİSAR,MERKEZ,853
ADIYAMAN,BESNİ,AFYONKARAHİSAR,SANDIKLI,918
ADIYAMAN,BESNİ,AFYONKARAHİSAR,SİNANPAŞA,
ADIYAMAN,BESNİ,AFYONKARAHİSAR,SULTANDAĞI,790
ADIYAMAN,BESNİ,AFYONKARAHİSAR,ŞUHUT,867
ADIYAMAN,BESNİ,AĞRI,DİYADİN,761
ADIYAMAN,BESNİ,AĞRI,DOĞUBAYAZIT,
ADIYAMAN,BESNİ,AĞRI,ELEŞKİRT,705
ADIYAMAN,BESNİ,AĞRI,HAMUR,688
ADIYAMAN,BESNİ,AĞRI,MERKEZ,
ADIYAMAN,BESNİ,AĞRI,PATNOS,645
ADIYAMAN,BESNİ,AĞRI,TAŞLIÇAY,735
ADIYAMAN,BESNİ,AĞRI,TUTAK,699
ADIYAMAN,BESNİ,AMASYA,GÖYNÜCEK,615
ADIYAMAN,BESNİ,AMASYA,GÜMÜŞHACIKÖY,646
ADIYAMAN,BESNİ,AMASYA,HAMAMÖZÜ,684
ADIYAMAN,BESNİ,AMASYA,MERKEZ,583
ADIYAMAN,BESNİ,AMASYA,MERZİFON,641
ADIYAMAN,BESNİ,AMASYA,SULUOVA,589
ADIYAMAN,BESNİ,AMASYA,TAŞOVA,586
ADIYAMAN,BESNİ,ANKARA,AKYURT,
ADIYAMAN,BESNİ,ANKARA,ALTINDAĞ,642
ADIYAMAN,BESNİ,ANKARA,AYAŞ,722
ADIYAMAN,BESNİ,ANKARA,BALA,645
ADIYAMAN,BESNİ,ANKARA,BEYPAZARI,871
ADIYAMAN,BESNİ,ANKARA,ÇAMLIDERE,867
ADIYAMAN,BESNİ,ANKARA,ÇANKAYA,773
ADIYAMAN,BESNİ,ANKARA,ÇUBUK,827
ADIYAMAN,BESNİ,ANKARA,ELMADAĞ,670
ADIYAMAN,BESNİ,ANKARA,ETİMESGUT,779
ADIYAMAN,BESNİ,ANKARA,EVREN,650
ADIYAMAN,BESNİ,ANKARA,GÖLBAŞI,641
ADIYAMAN,BESNİ,ANKARA,GÜDÜL,873
ADIYAMAN,BESNİ,ANKARA,HAYMANA,746
ADIYAMAN,BESNİ,ANKARA,KAHRAMANKAZAN,
ADIYAMAN,BESNİ,ANKARA,KALECİK,781
ADIYAMAN,BESNİ,ANKARA,KEÇİÖREN,716
ADIYAMAN,BESNİ,ANKARA,KIZILCAHAMAM,853
ADIYAMAN,BESNİ,ANKARA,MAMAK,652
ADIYAMAN,BESNİ,ANKARA,NALLIHAN,929
ADIYAMAN,BESNİ,ANKARA,POLATLI,833
ADIYAMAN,BESNİ,ANKARA,PURSAKLAR,799
ADIYAMAN,BESNİ,ANKARA,SİNCAN,796
ADIYAMAN,BESNİ,ANKARA,ŞEREFLİKOÇHİSAR,622
ADIYAMAN,BESNİ,ANKARA,YENİMAHALLE,723
ADIYAMAN,BESNİ,ANTALYA,AKSEKİ,
ADIYAMAN,BESNİ,ANTALYA,AKSU,888
ADIYAMAN,BESNİ,ANTALYA,ALANYA,702
ADIYAMAN,BESNİ,ANTALYA,DEMRE,1074
ADIYAMAN,BESNİ,ANTALYA,DÖŞEMEALTI,949
ADIYAMAN,BESNİ,ANTALYA,ELMALI,1044
ADIYAMAN,BESNİ,ANTALYA,FİNİKE,961
