sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
KIRŞEHİR,AKÇAKENT,ADANA,ALADAĞ,409
KIRŞEHİR,AKÇAKENT,ADANA,CEYHAN,460
KIRŞEHİR,AKÇAKENT,ADANA,ÇUKUROVA,410
KIRŞEHİR,AKÇAKENT,ADANA,FEKE,439
KIRŞEHİR,AKÇAKENT,ADANA,İMAMOĞLU,459
KIRŞEHİR,AKÇAKENT,ADANA,KARAİSALI,438
KIRŞEHİR,AKÇAKENT,ADANA,KARATAŞ,467
KIRŞEHİR,AKÇAKENT,ADANA,KOZAN,485
KIRŞEHİR,AKÇAKENT,ADANA,POZANTI,335
KIRŞEHİR,AKÇAKENT,ADANA,SAİMBEYLİ,405
KIRŞEHİR,AKÇAKENT,ADANA,SARIÇAM,415
KIRŞEHİR,AKÇAKENT,ADANA,SEYHAN,415
KIRŞEHİR,AKÇAKENT,ADANA,TUFANBEYLİ,375
KIRŞEHİR,AKÇAKENT,ADANA,YUMURTALIK,492
KIRŞEHİR,AKÇAKENT,ADANA,YÜREĞİR,419
KIRŞEHİR,AKÇAKENT,ADIYAMAN,BESNİ,700
KIRŞEHİR,AKÇAKENT,ADIYAMAN,ÇELİKHAN,602
KIRŞEHİR,AKÇAKENT,ADIYAMAN,GERGER,666
KIRŞEHİR,AKÇAKENT,ADIYAMAN,GÖLBAŞI,677
KIRŞEHİR,AKÇAKENT,ADIYAMAN,KAHTA,775
KIRŞEHİR,AKÇAKENT,ADIYAMAN,MERKEZ,
KIRŞEHİR,AKÇAKENT,ADIYAMAN,SAMSAT,789
KIRŞEHİR,AKÇAKENT,ADIYAMAN,SİNCİK,652
KIRŞEHİR,AKÇAKENT,ADIYAMAN,TUT,709
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,BAŞMAKÇI,558
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,BAYAT,392
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,BOLVADİN,415
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,ÇAY,429
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,ÇOBANLAR,438
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,DAZKIRI,567
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,DİNAR,530
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,EMİRDAĞ,375
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,EVCİLER,562
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,HOCALAR,535
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,İHSANİYE,472
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,İSCEHİSAR,415
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,KIZILÖREN,526
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,MERKEZ,431
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,SANDIKLI,498
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,SİNANPAŞA,
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,SULTANDAĞI,449
KIRŞEHİR,AKÇAKENT,AFYONKARAHİSAR,ŞUHUT,464
KIRŞEHİR,AKÇAKENT,AĞRI,DİYADİN,986
KIRŞEHİR,AKÇAKENT,AĞRI,DOĞUBAYAZIT,
KIRŞEHİR,AKÇAKENT,AĞRI,ELEŞKİRT,876
KIRŞEHİR,AKÇAKENT,AĞRI,HAMUR,938
KIRŞEHİR,AKÇAKENT,AĞRI,MERKEZ,
KIRŞEHİR,AKÇAKENT,AĞRI,PATNOS,972
KIRŞEHİR,AKÇAKENT,AĞRI,TAŞLIÇAY,956
KIRŞEHİR,AKÇAKENT,AĞRI,TUTAK,932
KIRŞEHİR,AKÇAKENT,AMASYA,GÖYNÜCEK,202
KIRŞEHİR,AKÇAKENT,AMASYA,GÜMÜŞHACIKÖY,252
KIRŞEHİR,AKÇAKENT,AMASYA,HAMAMÖZÜ,205
KIRŞEHİR,AKÇAKENT,AMASYA,MERKEZ,
KIRŞEHİR,AKÇAKENT,AMASYA,MERZİFON,232
KIRŞEHİR,AKÇAKENT,AMASYA,SULUOVA,254
KIRŞEHİR,AKÇAKENT,AMASYA,TAŞOVA,311
KIRŞEHİR,AKÇAKENT,ANKARA,AKYURT,155
KIRŞEHİR,AKÇAKENT,ANKARA,ALTINDAĞ,156
KIRŞEHİR,AKÇAKENT,ANKARA,AYAŞ,237
KIRŞEHİR,AKÇAKENT,ANKARA,BALA,110
KIRŞEHİR,AKÇAKENT,ANKARA,BEYPAZARI,278
