sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
KASTAMONU,ABANA,ADANA,ALADAĞ,903
KASTAMONU,ABANA,ADANA,CEYHAN,835
KASTAMONU,ABANA,ADANA,ÇUKUROVA,907
KASTAMONU,ABANA,ADANA,FEKE,783
KASTAMONU,ABANA,ADANA,İMAMOĞLU,836
KASTAMONU,ABANA,ADANA,KARAİSALI,782
KASTAMONU,ABANA,ADANA,KARATAŞ,963
KASTAMONU,ABANA,ADANA,KOZAN,868
KASTAMONU,ABANA,ADANA,POZANTI,811
KASTAMONU,ABANA,ADANA,SAİMBEYLİ,782
KASTAMONU,ABANA,ADANA,SARIÇAM,909
KASTAMONU,ABANA,ADANA,SEYHAN,909
KASTAMONU,ABANA,ADANA,TUFANBEYLİ,782
KASTAMONU,ABANA,ADANA,YUMURTALIK,985
KASTAMONU,ABANA,ADANA,YÜREĞİR,913
KASTAMONU,ABANA,ADIYAMAN,BESNİ,883
KASTAMONU,ABANA,ADIYAMAN,ÇELİKHAN,813
KASTAMONU,ABANA,ADIYAMAN,GERGER,870
KASTAMONU,ABANA,ADIYAMAN,GÖLBAŞI,858
KASTAMONU,ABANA,ADIYAMAN,KAHTA,893
KASTAMONU,ABANA,ADIYAMAN,MERKEZ,885
KASTAMONU,ABANA,ADIYAMAN,SAMSAT,926
KASTAMONU,ABANA,ADIYAMAN,SİNCİK,885
KASTAMONU,ABANA,ADIYAMAN,TUT,889
KASTAMONU,ABANA,AFYONKARAHİSAR,BAŞMAKÇI,776
KASTAMONU,ABANA,AFYONKARAHİSAR,BAYAT,610
KASTAMONU,ABANA,AFYONKARAHİSAR,BOLVADİN,648
KASTAMONU,ABANA,AFYONKARAHİSAR,ÇAY,606
KASTAMONU,ABANA,AFYONKARAHİSAR,ÇOBANLAR,657
KASTAMONU,ABANA,AFYONKARAHİSAR,DAZKIRI,785
KASTAMONU,ABANA,AFYONKARAHİSAR,DİNAR,752
KASTAMONU,ABANA,AFYONKARAHİSAR,EMİRDAĞ,593
KASTAMONU,ABANA,AFYONKARAHİSAR,EVCİLER,780
KASTAMONU,ABANA,AFYONKARAHİSAR,HOCALAR,770
KASTAMONU,ABANA,AFYONKARAHİSAR,İHSANİYE,647
KASTAMONU,ABANA,AFYONKARAHİSAR,İSCEHİSAR,633
KASTAMONU,ABANA,AFYONKARAHİSAR,KIZILÖREN,744
KASTAMONU,ABANA,AFYONKARAHİSAR,MERKEZ,653
KASTAMONU,ABANA,AFYONKARAHİSAR,SANDIKLI,662
KASTAMONU,ABANA,AFYONKARAHİSAR,SİNANPAŞA,
KASTAMONU,ABANA,AFYONKARAHİSAR,SULTANDAĞI,668
KASTAMONU,ABANA,AFYONKARAHİSAR,ŞUHUT,697
KASTAMONU,ABANA,AĞRI,DİYADİN,1090
KASTAMONU,ABANA,AĞRI,DOĞUBAYAZIT,
KASTAMONU,ABANA,AĞRI,ELEŞKİRT,996
KASTAMONU,ABANA,AĞRI,HAMUR,1043
KASTAMONU,ABANA,AĞRI,MERKEZ,
KASTAMONU,ABANA,AĞRI,PATNOS,1076
KASTAMONU,ABANA,AĞRI,TAŞLIÇAY,1090
KASTAMONU,ABANA,AĞRI,TUTAK,1036
KASTAMONU,ABANA,AMASYA,GÖYNÜCEK,349
KASTAMONU,ABANA,AMASYA,GÜMÜŞHACIKÖY,281
KASTAMONU,ABANA,AMASYA,HAMAMÖZÜ,275
KASTAMONU,ABANA,AMASYA,MERKEZ,308
KASTAMONU,ABANA,AMASYA,MERZİFON,289
KASTAMONU,ABANA,AMASYA,SULUOVA,284
KASTAMONU,ABANA,AMASYA,TAŞOVA,339
KASTAMONU,ABANA,ANKARA,AKYURT,325
KASTAMONU,ABANA,ANKARA,ALTINDAĞ,359
KASTAMONU,ABANA,ANKARA,AYAŞ,423
KASTAMONU,ABANA,ANKARA,BALA,377
KASTAMONU,ABANA,ANKARA,BEYPAZARI,423
KASTAMONU,ABANA,ANKARA,ÇAMLIDERE,366
KASTAMONU,ABANA,ANKARA,ÇANKAYA,369
KASTAMONU,ABANA,ANKARA,ÇUBUK,295
KASTAMONU,ABANA,ANKARA,ELMADAĞ,343
KASTAMONU,ABANA,ANKARA,ETİMESGUT,372
KASTAMONU,ABANA,ANKARA,EVREN,602
KASTAMONU,ABANA,ANKARA,GÖLBAŞI,379
KASTAMONU,ABANA,ANKARA,GÜDÜL,390
KASTAMONU,ABANA,ANKARA,HAYMANA,489
KASTAMONU,ABANA,ANKARA,KAHRAMANKAZAN,
KASTAMONU,ABANA,ANKARA,KALECİK,282
