sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ORDU,AKKUŞ,ADANA,ALADAĞ,579
ORDU,AKKUŞ,ADANA,CEYHAN,709
ORDU,AKKUŞ,ADANA,ÇUKUROVA,660
ORDU,AKKUŞ,ADANA,FEKE,473
ORDU,AKKUŞ,ADANA,İMAMOĞLU,550
ORDU,AKKUŞ,ADANA,KARAİSALI,474
ORDU,AKKUŞ,ADANA,KARATAŞ,715
ORDU,AKKUŞ,ADANA,KOZAN,525
ORDU,AKKUŞ,ADANA,POZANTI,587
ORDU,AKKUŞ,ADANA,SAİMBEYLİ,449
ORDU,AKKUŞ,ADANA,SARIÇAM,667
ORDU,AKKUŞ,ADANA,SEYHAN,661
ORDU,AKKUŞ,ADANA,TUFANBEYLİ,411
ORDU,AKKUŞ,ADANA,YUMURTALIK,682
ORDU,AKKUŞ,ADANA,YÜREĞİR,671
ORDU,AKKUŞ,ADIYAMAN,BESNİ,576
ORDU,AKKUŞ,ADIYAMAN,ÇELİKHAN,506
ORDU,AKKUŞ,ADIYAMAN,GERGER,582
ORDU,AKKUŞ,ADIYAMAN,GÖLBAŞI,551
ORDU,AKKUŞ,ADIYAMAN,KAHTA,586
ORDU,AKKUŞ,ADIYAMAN,MERKEZ,
ORDU,AKKUŞ,ADIYAMAN,SAMSAT,614
ORDU,AKKUŞ,ADIYAMAN,SİNCİK,578
ORDU,AKKUŞ,ADIYAMAN,TUT,582
ORDU,AKKUŞ,AFYONKARAHİSAR,BAŞMAKÇI,888
ORDU,AKKUŞ,AFYONKARAHİSAR,BAYAT,701
ORDU,AKKUŞ,AFYONKARAHİSAR,BOLVADİN,719
ORDU,AKKUŞ,AFYONKARAHİSAR,ÇAY,738
ORDU,AKKUŞ,AFYONKARAHİSAR,ÇOBANLAR,759
ORDU,AKKUŞ,AFYONKARAHİSAR,DAZKIRI,877
ORDU,AKKUŞ,AFYONKARAHİSAR,DİNAR,851
ORDU,AKKUŞ,AFYONKARAHİSAR,EMİRDAĞ,684
ORDU,AKKUŞ,AFYONKARAHİSAR,EVCİLER,893
ORDU,AKKUŞ,AFYONKARAHİSAR,HOCALAR,844
ORDU,AKKUŞ,AFYONKARAHİSAR,İHSANİYE,800
ORDU,AKKUŞ,AFYONKARAHİSAR,İSCEHİSAR,724
ORDU,AKKUŞ,AFYONKARAHİSAR,KIZILÖREN,835
ORDU,AKKUŞ,AFYONKARAHİSAR,MERKEZ,744
ORDU,AKKUŞ,AFYONKARAHİSAR,SANDIKLI,808
ORDU,AKKUŞ,AFYONKARAHİSAR,SİNANPAŞA,
ORDU,AKKUŞ,AFYONKARAHİSAR,SULTANDAĞI,759
ORDU,AKKUŞ,AFYONKARAHİSAR,ŞUHUT,767
ORDU,AKKUŞ,AĞRI,DİYADİN,745
ORDU,AKKUŞ,AĞRI,DOĞUBAYAZIT,
ORDU,AKKUŞ,AĞRI,ELEŞKİRT,635
ORDU,AKKUŞ,AĞRI,HAMUR,697
ORDU,AKKUŞ,AĞRI,MERKEZ,
ORDU,AKKUŞ,AĞRI,PATNOS,733
ORDU,AKKUŞ,AĞRI,TAŞLIÇAY,716
ORDU,AKKUŞ,AĞRI,TUTAK,692
ORDU,AKKUŞ,AMASYA,GÖYNÜCEK,199
ORDU,AKKUŞ,AMASYA,GÜMÜŞHACIKÖY,219
ORDU,AKKUŞ,AMASYA,HAMAMÖZÜ,241
ORDU,AKKUŞ,AMASYA,MERKEZ,165
ORDU,AKKUŞ,AMASYA,MERZİFON,197
ORDU,AKKUŞ,AMASYA,SULUOVA,181
ORDU,AKKUŞ,AMASYA,TAŞOVA,104
ORDU,AKKUŞ,ANKARA,AKYURT,468
ORDU,AKKUŞ,ANKARA,ALTINDAĞ,474
ORDU,AKKUŞ,ANKARA,AYAŞ,546
ORDU,AKKUŞ,ANKARA,BALA,468
ORDU,AKKUŞ,ANKARA,BEYPAZARI,585
ORDU,AKKUŞ,ANKARA,ÇAMLIDERE,516
ORDU,AKKUŞ,ANKARA,ÇANKAYA,469
ORDU,AKKUŞ,ANKARA,ÇUBUK,494
ORDU,AKKUŞ,ANKARA,ELMADAĞ,433
ORDU,AKKUŞ,ANKARA,ETİMESGUT,509
ORDU,AKKUŞ,ANKARA,EVREN,506
ORDU,AKKUŞ,ANKARA,GÖLBAŞI,496
ORDU,AKKUŞ,ANKARA,GÜDÜL,553
ORDU,AKKUŞ,ANKARA,HAYMANA,544
ORDU,AKKUŞ,ANKARA,KAHRAMANKAZAN,
ORDU,AKKUŞ,ANKARA,KALECİK,436
ORDU,AKKUŞ,ANKARA,KEÇİÖREN,481
ORDU,AKKUŞ,ANKARA,KIZILCAHAMAM,498
ORDU,AKKUŞ,ANKARA,MAMAK,459
ORDU,AKKUŞ,ANKARA,NALLIHAN,681
ORDU,AKKUŞ,ANKARA,POLATLI,577
ORDU,AKKUŞ,ANKARA,PURSAKLAR,477
ORDU,AKKUŞ,ANKARA,SİNCAN,522
ORDU,AKKUŞ,ANKARA,ŞEREFLİKOÇHİSAR,505
