sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
KAYSERİ,AKKIŞLA,ADANA,ALADAĞ,285
KAYSERİ,AKKIŞLA,ADANA,CEYHAN,425
KAYSERİ,AKKIŞLA,ADANA,ÇUKUROVA,379
KAYSERİ,AKKIŞLA,ADANA,FEKE,201
KAYSERİ,AKKIŞLA,ADANA,İMAMOĞLU,276
KAYSERİ,AKKIŞLA,ADANA,KARAİSALI,200
KAYSERİ,AKKIŞLA,ADANA,KARATAŞ,437
KAYSERİ,AKKIŞLA,ADANA,KOZAN,251
KAYSERİ,AKKIŞLA,ADANA,POZANTI,285
KAYSERİ,AKKIŞLA,ADANA,SAİMBEYLİ,167
KAYSERİ,AKKIŞLA,ADANA,SARIÇAM,388
KAYSERİ,AKKIŞLA,ADANA,SEYHAN,382
KAYSERİ,AKKIŞLA,ADANA,TUFANBEYLİ,152
KAYSERİ,AKKIŞLA,ADANA,YUMURTALIK,463
KAYSERİ,AKKIŞLA,ADANA,YÜREĞİR,388
KAYSERİ,AKKIŞLA,ADIYAMAN,BESNİ,392
KAYSERİ,AKKIŞLA,ADIYAMAN,ÇELİKHAN,361
KAYSERİ,AKKIŞLA,ADIYAMAN,GERGER,425
KAYSERİ,AKKIŞLA,ADIYAMAN,GÖLBAŞI,332
KAYSERİ,AKKIŞLA,ADIYAMAN,KAHTA,420
KAYSERİ,AKKIŞLA,ADIYAMAN,MERKEZ,
KAYSERİ,AKKIŞLA,ADIYAMAN,SAMSAT,450
KAYSERİ,AKKIŞLA,ADIYAMAN,SİNCİK,412
KAYSERİ,AKKIŞLA,ADIYAMAN,TUT,364
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,BAŞMAKÇI,671
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,BAYAT,616
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,BOLVADİN,556
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,ÇAY,537
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,ÇOBANLAR,570
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,DAZKIRI,680
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,DİNAR,647
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,EMİRDAĞ,599
KAYSERİ,AKKIŞLA,AFYONKARAHİSAR,EVCİLER,675
