sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
DÜZCE,AKÇAKOCA,ADANA,ALADAĞ,750
DÜZCE,AKÇAKOCA,ADANA,CEYHAN,800
DÜZCE,AKÇAKOCA,ADANA,ÇUKUROVA,760
DÜZCE,AKÇAKOCA,ADANA,FEKE,876
DÜZCE,AKÇAKOCA,ADANA,İMAMOĞLU,801
DÜZCE,AKÇAKOCA,ADANA,KARAİSALI,878
DÜZCE,AKÇAKOCA,ADANA,KARATAŞ,809
DÜZCE,AKÇAKOCA,ADANA,KOZAN,826
DÜZCE,AKÇAKOCA,ADANA,POZANTI,657
DÜZCE,AKÇAKOCA,ADANA,SAİMBEYLİ,793
DÜZCE,AKÇAKOCA,ADANA,SARIÇAM,757
DÜZCE,AKÇAKOCA,ADANA,SEYHAN,759
DÜZCE,AKÇAKOCA,ADANA,TUFANBEYLİ,712
DÜZCE,AKÇAKOCA,ADANA,YUMURTALIK,833
DÜZCE,AKÇAKOCA,ADANA,YÜREĞİR,761
DÜZCE,AKÇAKOCA,ADIYAMAN,BESNİ,1044
DÜZCE,AKÇAKOCA,ADIYAMAN,ÇELİKHAN,1094
DÜZCE,AKÇAKOCA,ADIYAMAN,GERGER,1183
DÜZCE,AKÇAKOCA,ADIYAMAN,GÖLBAŞI,1019
DÜZCE,AKÇAKOCA,ADIYAMAN,KAHTA,1116
DÜZCE,AKÇAKOCA,ADIYAMAN,MERKEZ,1082
DÜZCE,AKÇAKOCA,ADIYAMAN,SAMSAT,1130
DÜZCE,AKÇAKOCA,ADIYAMAN,SİNCİK,1151
DÜZCE,AKÇAKOCA,ADIYAMAN,TUT,1050
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,BAŞMAKÇI,521
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,BAYAT,456
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,BOLVADİN,429
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,ÇAY,494
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,ÇOBANLAR,503
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,DAZKIRI,530
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,DİNAR,493
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,EMİRDAĞ,390
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,EVCİLER,521
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,HOCALAR,457
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,İHSANİYE,378
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,İSCEHİSAR,480
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,KIZILÖREN,482
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,MERKEZ,
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,SANDIKLI,448
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,SİNANPAŞA,401
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,SULTANDAĞI,463
DÜZCE,AKÇAKOCA,AFYONKARAHİSAR,ŞUHUT,438
DÜZCE,AKÇAKOCA,AĞRI,DİYADİN,1300
DÜZCE,AKÇAKOCA,AĞRI,DOĞUBAYAZIT,1330
DÜZCE,AKÇAKOCA,AĞRI,ELEŞKİRT,1207
DÜZCE,AKÇAKOCA,AĞRI,HAMUR,1253
DÜZCE,AKÇAKOCA,AĞRI,MERKEZ,
DÜZCE,AKÇAKOCA,AĞRI,PATNOS,1288
DÜZCE,AKÇAKOCA,AĞRI,TAŞLIÇAY,1272
DÜZCE,AKÇAKOCA,AĞRI,TUTAK,1247
DÜZCE,AKÇAKOCA,AMASYA,GÖYNÜCEK,564
DÜZCE,AKÇAKOCA,AMASYA,GÜMÜŞHACIKÖY,435
DÜZCE,AKÇAKOCA,AMASYA,HAMAMÖZÜ,432
DÜZCE,AKÇAKOCA,AMASYA,MERKEZ,503
DÜZCE,AKÇAKOCA,AMASYA,MERZİFON,455
DÜZCE,AKÇAKOCA,AMASYA,SULUOVA,473
DÜZCE,AKÇAKOCA,AMASYA,TAŞOVA,549
DÜZCE,AKÇAKOCA,ANKARA,AKYURT,295
DÜZCE,AKÇAKOCA,ANKARA,ALTINDAĞ,293
DÜZCE,AKÇAKOCA,ANKARA,AYAŞ,249
DÜZCE,AKÇAKOCA,ANKARA,BALA,342
DÜZCE,AKÇAKOCA,ANKARA,BEYPAZARI,268
DÜZCE,AKÇAKOCA,ANKARA,ÇAMLIDERE,197
DÜZCE,AKÇAKOCA,ANKARA,ÇANKAYA,305
DÜZCE,AKÇAKOCA,ANKARA,ÇUBUK,301
DÜZCE,AKÇAKOCA,ANKARA,ELMADAĞ,314
DÜZCE,AKÇAKOCA,ANKARA,ETİMESGUT,260
DÜZCE,AKÇAKOCA,ANKARA,EVREN,449
DÜZCE,AKÇAKOCA,ANKARA,GÖLBAŞI,291
DÜZCE,AKÇAKOCA,ANKARA,GÜDÜL,235
DÜZCE,AKÇAKOCA,ANKARA,HAYMANA,336
DÜZCE,AKÇAKOCA,ANKARA,KAHRAMANKAZAN,
DÜZCE,AKÇAKOCA,ANKARA,KALECİK,329
DÜZCE,AKÇAKOCA,ANKARA,KEÇİÖREN,268
DÜZCE,AKÇAKOCA,ANKARA,KIZILCAHAMAM,203
DÜZCE,AKÇAKOCA,ANKARA,MAMAK,275
DÜZCE,AKÇAKOCA,ANKARA,NALLIHAN,173
DÜZCE,AKÇAKOCA,ANKARA,POLATLI,320
DÜZCE,AKÇAKOCA,ANKARA,PURSAKLAR,272
DÜZCE,AKÇAKOCA,ANKARA,SİNCAN,257
DÜZCE,AKÇAKOCA,ANKARA,ŞEREFLİKOÇHİSAR,421
DÜZCE,AKÇAKOCA,ANKARA,YENİMAHALLE,257
DÜZCE,AKÇAKOCA,ANTALYA,AKSEKİ,689
DÜZCE,AKÇAKOCA,ANTALYA,AKSU,670
DÜZCE,AKÇAKOCA,ANTALYA,ALANYA,797
DÜZCE,AKÇAKOCA,ANTALYA,DEMRE,
DÜZCE,AKÇAKOCA,ANTALYA,DÖŞEMEALTI,660
DÜZCE,AKÇAKOCA,ANTALYA,ELMALI,735
DÜZCE,AKÇAKOCA,ANTALYA,FİNİKE,770
DÜZCE,AKÇAKOCA,ANTALYA,GAZİPAŞA,841
DÜZCE,AKÇAKOCA,ANTALYA,GÜNDOĞMUŞ,779
DÜZCE,AKÇAKOCA,ANTALYA,İBRADI,
DÜZCE,AKÇAKOCA,ANTALYA,KAŞ,818
DÜZCE,AKÇAKOCA,ANTALYA,KEMER,711
DÜZCE,AKÇAKOCA,ANTALYA,KEPEZ,674
