sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ELAZIĞ,AĞIN,ADANA,ALADAĞ,568
ELAZIĞ,AĞIN,ADANA,CEYHAN,479
ELAZIĞ,AĞIN,ADANA,ÇUKUROVA,512
ELAZIĞ,AĞIN,ADANA,FEKE,435
ELAZIĞ,AĞIN,ADANA,İMAMOĞLU,510
ELAZIĞ,AĞIN,ADANA,KARAİSALI,434
ELAZIĞ,AĞIN,ADANA,KARATAŞ,565
ELAZIĞ,AĞIN,ADANA,KOZAN,465
ELAZIĞ,AĞIN,ADANA,POZANTI,630
ELAZIĞ,AĞIN,ADANA,SAİMBEYLİ,434
ELAZIĞ,AĞIN,ADANA,SARIÇAM,516
ELAZIĞ,AĞIN,ADANA,SEYHAN,485
ELAZIĞ,AĞIN,ADANA,TUFANBEYLİ,371
ELAZIĞ,AĞIN,ADANA,YUMURTALIK,497
ELAZIĞ,AĞIN,ADANA,YÜREĞİR,517
ELAZIĞ,AĞIN,ADIYAMAN,BESNİ,279
ELAZIĞ,AĞIN,ADIYAMAN,ÇELİKHAN,205
ELAZIĞ,AĞIN,ADIYAMAN,GERGER,263
ELAZIĞ,AĞIN,ADIYAMAN,GÖLBAŞI,250
ELAZIĞ,AĞIN,ADIYAMAN,KAHTA,285
ELAZIĞ,AĞIN,ADIYAMAN,MERKEZ,275
ELAZIĞ,AĞIN,ADIYAMAN,SAMSAT,315
ELAZIĞ,AĞIN,ADIYAMAN,SİNCİK,277
ELAZIĞ,AĞIN,ADIYAMAN,TUT,281
ELAZIĞ,AĞIN,AFYONKARAHİSAR,BAŞMAKÇI,1004
ELAZIĞ,AĞIN,AFYONKARAHİSAR,BAYAT,918
ELAZIĞ,AĞIN,AFYONKARAHİSAR,BOLVADİN,1048
ELAZIĞ,AĞIN,AFYONKARAHİSAR,ÇAY,875
ELAZIĞ,AĞIN,AFYONKARAHİSAR,ÇOBANLAR,903
ELAZIĞ,AĞIN,AFYONKARAHİSAR,DAZKIRI,1013
ELAZIĞ,AĞIN,AFYONKARAHİSAR,DİNAR,979
ELAZIĞ,AĞIN,AFYONKARAHİSAR,EMİRDAĞ,902
ELAZIĞ,AĞIN,AFYONKARAHİSAR,EVCİLER,1007
ELAZIĞ,AĞIN,AFYONKARAHİSAR,HOCALAR,1062
ELAZIĞ,AĞIN,AFYONKARAHİSAR,İHSANİYE,999
ELAZIĞ,AĞIN,AFYONKARAHİSAR,İSCEHİSAR,942
ELAZIĞ,AĞIN,AFYONKARAHİSAR,KIZILÖREN,990
ELAZIĞ,AĞIN,AFYONKARAHİSAR,MERKEZ,
ELAZIĞ,AĞIN,AFYONKARAHİSAR,SANDIKLI,1026
ELAZIĞ,AĞIN,AFYONKARAHİSAR,SİNANPAŞA,
ELAZIĞ,AĞIN,AFYONKARAHİSAR,SULTANDAĞI,854
ELAZIĞ,AĞIN,AFYONKARAHİSAR,ŞUHUT,926
ELAZIĞ,AĞIN,AĞRI,DİYADİN,681
ELAZIĞ,AĞIN,AĞRI,DOĞUBAYAZIT,
ELAZIĞ,AĞIN,AĞRI,ELEŞKİRT,551
ELAZIĞ,AĞIN,AĞRI,HAMUR,608
ELAZIĞ,AĞIN,AĞRI,MERKEZ,
ELAZIĞ,AĞIN,AĞRI,PATNOS,546
ELAZIĞ,AĞIN,AĞRI,TAŞLIÇAY,652
