sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ŞANLIURFA,AKÇAKALE,ADANA,ALADAĞ,451
ŞANLIURFA,AKÇAKALE,ADANA,CEYHAN,370
ŞANLIURFA,AKÇAKALE,ADANA,ÇUKUROVA,445
ŞANLIURFA,AKÇAKALE,ADANA,FEKE,439
ŞANLIURFA,AKÇAKALE,ADANA,İMAMOĞLU,414
ŞANLIURFA,AKÇAKALE,ADANA,KARAİSALI,483
ŞANLIURFA,AKÇAKALE,ADANA,KARATAŞ,463
ŞANLIURFA,AKÇAKALE,ADANA,KOZAN,400
ŞANLIURFA,AKÇAKALE,ADANA,POZANTI,507
ŞANLIURFA,AKÇAKALE,ADANA,SAİMBEYLİ,495
ŞANLIURFA,AKÇAKALE,ADANA,SARIÇAM,422
ŞANLIURFA,AKÇAKALE,ADANA,SEYHAN,414
ŞANLIURFA,AKÇAKALE,ADANA,TUFANBEYLİ,418
ŞANLIURFA,AKÇAKALE,ADANA,YUMURTALIK,392
ŞANLIURFA,AKÇAKALE,ADANA,YÜREĞİR,411
ŞANLIURFA,AKÇAKALE,ADIYAMAN,BESNİ,183
ŞANLIURFA,AKÇAKALE,ADIYAMAN,ÇELİKHAN,220
ŞANLIURFA,AKÇAKALE,ADIYAMAN,GERGER,265
ŞANLIURFA,AKÇAKALE,ADIYAMAN,GÖLBAŞI,202
ŞANLIURFA,AKÇAKALE,ADIYAMAN,KAHTA,200
ŞANLIURFA,AKÇAKALE,ADIYAMAN,MERKEZ,
ŞANLIURFA,AKÇAKALE,ADIYAMAN,SAMSAT,211
ŞANLIURFA,AKÇAKALE,ADIYAMAN,SİNCİK,229
ŞANLIURFA,AKÇAKALE,ADIYAMAN,TUT,195
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,BAŞMAKÇI,1058
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,BAYAT,982
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,BOLVADİN,948
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,ÇAY,927
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,ÇOBANLAR,956
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,DAZKIRI,1071
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,DİNAR,1038
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,EMİRDAĞ,976
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,EVCİLER,1063
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,HOCALAR,1081
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,İHSANİYE,1013
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,İSCEHİSAR,988
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,KIZILÖREN,1040
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,MERKEZ,978
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,SANDIKLI,1040
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,SİNANPAŞA,
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,SULTANDAĞI,905
ŞANLIURFA,AKÇAKALE,AFYONKARAHİSAR,ŞUHUT,995
ŞANLIURFA,AKÇAKALE,AĞRI,DİYADİN,670
ŞANLIURFA,AKÇAKALE,AĞRI,DOĞUBAYAZIT,
ŞANLIURFA,AKÇAKALE,AĞRI,ELEŞKİRT,687
ŞANLIURFA,AKÇAKALE,AĞRI,HAMUR,657
ŞANLIURFA,AKÇAKALE,AĞRI,MERKEZ,
ŞANLIURFA,AKÇAKALE,AĞRI,PATNOS,593
ŞANLIURFA,AKÇAKALE,AĞRI,TAŞLIÇAY,671
ŞANLIURFA,AKÇAKALE,AĞRI,TUTAK,631
ŞANLIURFA,AKÇAKALE,AMASYA,GÖYNÜCEK,791
ŞANLIURFA,AKÇAKALE,AMASYA,GÜMÜŞHACIKÖY,856
ŞANLIURFA,AKÇAKALE,AMASYA,HAMAMÖZÜ,870
ŞANLIURFA,AKÇAKALE,AMASYA,MERKEZ,
ŞANLIURFA,AKÇAKALE,AMASYA,MERZİFON,834
ŞANLIURFA,AKÇAKALE,AMASYA,SULUOVA,813
ŞANLIURFA,AKÇAKALE,AMASYA,TAŞOVA,756
ŞANLIURFA,AKÇAKALE,ANKARA,AKYURT,945
ŞANLIURFA,AKÇAKALE,ANKARA,ALTINDAĞ,848
ŞANLIURFA,AKÇAKALE,ANKARA,AYAŞ,952
ŞANLIURFA,AKÇAKALE,ANKARA,BALA,839
ŞANLIURFA,AKÇAKALE,ANKARA,BEYPAZARI,996
ŞANLIURFA,AKÇAKALE,ANKARA,ÇAMLIDERE,996
ŞANLIURFA,AKÇAKALE,ANKARA,ÇANKAYA,906
ŞANLIURFA,AKÇAKALE,ANKARA,ÇUBUK,934
ŞANLIURFA,AKÇAKALE,ANKARA,ELMADAĞ,902
ŞANLIURFA,AKÇAKALE,ANKARA,ETİMESGUT,905
ŞANLIURFA,AKÇAKALE,ANKARA,EVREN,772
ŞANLIURFA,AKÇAKALE,ANKARA,GÖLBAŞI,881
ŞANLIURFA,AKÇAKALE,ANKARA,GÜDÜL,996
ŞANLIURFA,AKÇAKALE,ANKARA,HAYMANA,875
ŞANLIURFA,AKÇAKALE,ANKARA,KAHRAMANKAZAN,
ŞANLIURFA,AKÇAKALE,ANKARA,KALECİK,909
ŞANLIURFA,AKÇAKALE,ANKARA,KEÇİÖREN,899
ŞANLIURFA,AKÇAKALE,ANKARA,KIZILCAHAMAM,979
ŞANLIURFA,AKÇAKALE,ANKARA,MAMAK,914
ŞANLIURFA,AKÇAKALE,ANKARA,NALLIHAN,1050
ŞANLIURFA,AKÇAKALE,ANKARA,POLATLI,918
ŞANLIURFA,AKÇAKALE,ANKARA,PURSAKLAR,907
ŞANLIURFA,AKÇAKALE,ANKARA,SİNCAN,926
ŞANLIURFA,AKÇAKALE,ANKARA,ŞEREFLİKOÇHİSAR,750
ŞANLIURFA,AKÇAKALE,ANKARA,YENİMAHALLE,913
ŞANLIURFA,AKÇAKALE,ANTALYA,AKSEKİ,910
ŞANLIURFA,AKÇAKALE,ANTALYA,AKSU,1010
ŞANLIURFA,AKÇAKALE,ANTALYA,ALANYA,842
ŞANLIURFA,AKÇAKALE,ANTALYA,DEMRE,1203
ŞANLIURFA,AKÇAKALE,ANTALYA,DÖŞEMEALTI,988
ŞANLIURFA,AKÇAKALE,ANTALYA,ELMALI,1170
ŞANLIURFA,AKÇAKALE,ANTALYA,FİNİKE,1172
ŞANLIURFA,AKÇAKALE,ANTALYA,GAZİPAŞA,785
ŞANLIURFA,AKÇAKALE,ANTALYA,GÜNDOĞMUŞ,870
ŞANLIURFA,AKÇAKALE,ANTALYA,İBRADI,
ŞANLIURFA,AKÇAKALE,ANTALYA,KAŞ,1247
ŞANLIURFA,AKÇAKALE,ANTALYA,KEMER,1021
ŞANLIURFA,AKÇAKALE,ANTALYA,KEPEZ,969
ŞANLIURFA,AKÇAKALE,ANTALYA,KONYAALTI,982
ŞANLIURFA,AKÇAKALE,ANTALYA,KORKUTELİ,1029
ŞANLIURFA,AKÇAKALE,ANTALYA,KUMLUCA,1122
ŞANLIURFA,AKÇAKALE,ANTALYA,MANAVGAT,940
ŞANLIURFA,AKÇAKALE,ANTALYA,MURATPAŞA,1057
ŞANLIURFA,AKÇAKALE,ANTALYA,SERİK,987
ŞANLIURFA,AKÇAKALE,ARTVİN,ARDANUÇ,784
ŞANLIURFA,AKÇAKALE,ARTVİN,ARHAVİ,825
ŞANLIURFA,AKÇAKALE,ARTVİN,BORÇKA,779
ŞANLIURFA,AKÇAKALE,ARTVİN,HOPA,808
ŞANLIURFA,AKÇAKALE,ARTVİN,KEMALPAŞA,
ŞANLIURFA,AKÇAKALE,ARTVİN,MERKEZ,759
ŞANLIURFA,AKÇAKALE,ARTVİN,MURGUL,791
ŞANLIURFA,AKÇAKALE,ARTVİN,ŞAVŞAT,814
ŞANLIURFA,AKÇAKALE,ARTVİN,YUSUFELİ,697
ŞANLIURFA,AKÇAKALE,AYDIN,BOZDOĞAN,1248
ŞANLIURFA,AKÇAKALE,AYDIN,BUHARKENT,
ŞANLIURFA,AKÇAKALE,AYDIN,ÇİNE,1285
ŞANLIURFA,AKÇAKALE,AYDIN,DİDİM,1359
ŞANLIURFA,AKÇAKALE,AYDIN,EFELER,
ŞANLIURFA,AKÇAKALE,AYDIN,GERMENCİK,1295
ŞANLIURFA,AKÇAKALE,AYDIN,İNCİRLİOVA,1275
ŞANLIURFA,AKÇAKALE,AYDIN,KARACASU,1222
ŞANLIURFA,AKÇAKALE,AYDIN,KARPUZLU,1298
ŞANLIURFA,AKÇAKALE,AYDIN,KOÇARLI,1285
ŞANLIURFA,AKÇAKALE,AYDIN,KÖŞK,1244
ŞANLIURFA,AKÇAKALE,AYDIN,KUŞADASI,1327
ŞANLIURFA,AKÇAKALE,AYDIN,KUYUCAK,1207
ŞANLIURFA,AKÇAKALE,AYDIN,NAZİLLİ,1224
ŞANLIURFA,AKÇAKALE,AYDIN,SÖKE,1348
ŞANLIURFA,AKÇAKALE,AYDIN,SULTANHİSAR,1231
ŞANLIURFA,AKÇAKALE,AYDIN,YENİPAZAR,1238
ŞANLIURFA,AKÇAKALE,BALIKESİR,ALTIEYLÜL,
ŞANLIURFA,AKÇAKALE,BALIKESİR,AYVALIK,1419
ŞANLIURFA,AKÇAKALE,BALIKESİR,BALYA,1360
ŞANLIURFA,AKÇAKALE,BALIKESİR,BANDIRMA,1384
ŞANLIURFA,AKÇAKALE,BALIKESİR,BİGADİÇ,1288
ŞANLIURFA,AKÇAKALE,BALIKESİR,BURHANİYE,1407
ŞANLIURFA,AKÇAKALE,BALIKESİR,DURSUNBEY,1230
ŞANLIURFA,AKÇAKALE,BALIKESİR,EDREMİT,1385
ŞANLIURFA,AKÇAKALE,BALIKESİR,ERDEK,1377
ŞANLIURFA,AKÇAKALE,BALIKESİR,GÖMEÇ,1416
ŞANLIURFA,AKÇAKALE,BALIKESİR,GÖNEN,
ŞANLIURFA,AKÇAKALE,BALIKESİR,HAVRAN,1390
ŞANLIURFA,AKÇAKALE,BALIKESİR,İVRİNDİ,1348
ŞANLIURFA,AKÇAKALE,BALIKESİR,KARESİ,
ŞANLIURFA,AKÇAKALE,BALIKESİR,KEPSUT,1283
ŞANLIURFA,AKÇAKALE,BALIKESİR,MANYAS,1403
ŞANLIURFA,AKÇAKALE,BALIKESİR,MARMARA,
ŞANLIURFA,AKÇAKALE,BALIKESİR,SAVAŞTEPE,1341
ŞANLIURFA,AKÇAKALE,BALIKESİR,SINDIRGI,1263
ŞANLIURFA,AKÇAKALE,BALIKESİR,SUSURLUK,1357
ŞANLIURFA,AKÇAKALE,BİLECİK,BOZÜYÜK,1163
ŞANLIURFA,AKÇAKALE,BİLECİK,GÖLPAZARI,1265
