sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
KIRKLARELİ,BABAESKİ,ADANA,ALADAĞ,1093
KIRKLARELİ,BABAESKİ,ADANA,CEYHAN,1175
KIRKLARELİ,BABAESKİ,ADANA,ÇUKUROVA,1120
KIRKLARELİ,BABAESKİ,ADANA,FEKE,1240
KIRKLARELİ,BABAESKİ,ADANA,İMAMOĞLU,1167
KIRKLARELİ,BABAESKİ,ADANA,KARAİSALI,1100
KIRKLARELİ,BABAESKİ,ADANA,KARATAŞ,1175
KIRKLARELİ,BABAESKİ,ADANA,KOZAN,1194
KIRKLARELİ,BABAESKİ,ADANA,POZANTI,1025
KIRKLARELİ,BABAESKİ,ADANA,SAİMBEYLİ,1157
KIRKLARELİ,BABAESKİ,ADANA,SARIÇAM,1152
KIRKLARELİ,BABAESKİ,ADANA,SEYHAN,1127
KIRKLARELİ,BABAESKİ,ADANA,TUFANBEYLİ,1129
KIRKLARELİ,BABAESKİ,ADANA,YUMURTALIK,1197
KIRKLARELİ,BABAESKİ,ADANA,YÜREĞİR,1124
KIRKLARELİ,BABAESKİ,ADIYAMAN,BESNİ,1410
KIRKLARELİ,BABAESKİ,ADIYAMAN,ÇELİKHAN,1458
KIRKLARELİ,BABAESKİ,ADIYAMAN,GERGER,1547
KIRKLARELİ,BABAESKİ,ADIYAMAN,GÖLBAŞI,1383
KIRKLARELİ,BABAESKİ,ADIYAMAN,KAHTA,1483
KIRKLARELİ,BABAESKİ,ADIYAMAN,MERKEZ,
KIRKLARELİ,BABAESKİ,ADIYAMAN,SAMSAT,1494
KIRKLARELİ,BABAESKİ,ADIYAMAN,SİNCİK,1515
KIRKLARELİ,BABAESKİ,ADIYAMAN,TUT,1414
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,BAŞMAKÇI,749
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,BAYAT,635
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,BOLVADİN,660
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,ÇAY,675
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,ÇOBANLAR,666
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,DAZKIRI,761
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,DİNAR,686
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,EMİRDAĞ,621
KIRKLARELİ,BABAESKİ,AFYONKARAHİSAR,EVCİLER,753
