sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
UŞAK,BANAZ,ADANA,ALADAĞ,
UŞAK,BANAZ,ADANA,CEYHAN,692
UŞAK,BANAZ,ADANA,ÇUKUROVA,645
UŞAK,BANAZ,ADANA,FEKE,767
UŞAK,BANAZ,ADANA,İMAMOĞLU,694
UŞAK,BANAZ,ADANA,KARAİSALI,770
UŞAK,BANAZ,ADANA,KARATAŞ,709
UŞAK,BANAZ,ADANA,KOZAN,724
UŞAK,BANAZ,ADANA,POZANTI,549
UŞAK,BANAZ,ADANA,SAİMBEYLİ,809
UŞAK,BANAZ,ADANA,SARIÇAM,649
UŞAK,BANAZ,ADANA,SEYHAN,651
UŞAK,BANAZ,ADANA,TUFANBEYLİ,732
UŞAK,BANAZ,ADANA,YUMURTALIK,724
UŞAK,BANAZ,ADANA,YÜREĞİR,651
UŞAK,BANAZ,ADIYAMAN,BESNİ,941
UŞAK,BANAZ,ADIYAMAN,ÇELİKHAN,986
UŞAK,BANAZ,ADIYAMAN,GERGER,1113
UŞAK,BANAZ,ADIYAMAN,GÖLBAŞI,910
UŞAK,BANAZ,ADIYAMAN,KAHTA,1006
UŞAK,BANAZ,ADIYAMAN,MERKEZ,
UŞAK,BANAZ,ADIYAMAN,SAMSAT,1022
UŞAK,BANAZ,ADIYAMAN,SİNCİK,1042
UŞAK,BANAZ,ADIYAMAN,TUT,942
UŞAK,BANAZ,AFYONKARAHİSAR,BAŞMAKÇI,179
UŞAK,BANAZ,AFYONKARAHİSAR,BAYAT,124
UŞAK,BANAZ,AFYONKARAHİSAR,BOLVADİN,134
UŞAK,BANAZ,AFYONKARAHİSAR,ÇAY,130
UŞAK,BANAZ,AFYONKARAHİSAR,ÇOBANLAR,107
UŞAK,BANAZ,AFYONKARAHİSAR,DAZKIRI,118
UŞAK,BANAZ,AFYONKARAHİSAR,DİNAR,116
UŞAK,BANAZ,AFYONKARAHİSAR,EMİRDAĞ,149
UŞAK,BANAZ,AFYONKARAHİSAR,EVCİLER,111
UŞAK,BANAZ,AFYONKARAHİSAR,HOCALAR,36
UŞAK,BANAZ,AFYONKARAHİSAR,İHSANİYE,98
UŞAK,BANAZ,AFYONKARAHİSAR,İSCEHİSAR,101
UŞAK,BANAZ,AFYONKARAHİSAR,KIZILÖREN,97
UŞAK,BANAZ,AFYONKARAHİSAR,MERKEZ,
UŞAK,BANAZ,AFYONKARAHİSAR,SANDIKLI,74
UŞAK,BANAZ,AFYONKARAHİSAR,SİNANPAŞA,56
UŞAK,BANAZ,AFYONKARAHİSAR,SULTANDAĞI,152
UŞAK,BANAZ,AFYONKARAHİSAR,ŞUHUT,111
UŞAK,BANAZ,AĞRI,DİYADİN,1462
UŞAK,BANAZ,AĞRI,DOĞUBAYAZIT,
UŞAK,BANAZ,AĞRI,ELEŞKİRT,1352
UŞAK,BANAZ,AĞRI,HAMUR,1414
UŞAK,BANAZ,AĞRI,MERKEZ,
UŞAK,BANAZ,AĞRI,PATNOS,1446
UŞAK,BANAZ,AĞRI,TAŞLIÇAY,1432
UŞAK,BANAZ,AĞRI,TUTAK,1408
UŞAK,BANAZ,AMASYA,GÖYNÜCEK,638
UŞAK,BANAZ,AMASYA,GÜMÜŞHACIKÖY,654
UŞAK,BANAZ,AMASYA,HAMAMÖZÜ,623
UŞAK,BANAZ,AMASYA,MERKEZ,677
UŞAK,BANAZ,AMASYA,MERZİFON,649
UŞAK,BANAZ,AMASYA,SULUOVA,665
UŞAK,BANAZ,AMASYA,TAŞOVA,727
UŞAK,BANAZ,ANKARA,AKYURT,
UŞAK,BANAZ,ANKARA,ALTINDAĞ,354
UŞAK,BANAZ,ANKARA,AYAŞ,326
UŞAK,BANAZ,ANKARA,BALA,
UŞAK,BANAZ,ANKARA,BEYPAZARI,352
UŞAK,BANAZ,ANKARA,ÇAMLIDERE,406
UŞAK,BANAZ,ANKARA,ÇANKAYA,341
UŞAK,BANAZ,ANKARA,ÇUBUK,388
UŞAK,BANAZ,ANKARA,ELMADAĞ,388
UŞAK,BANAZ,ANKARA,ETİMESGUT,325
UŞAK,BANAZ,ANKARA,EVREN,452
UŞAK,BANAZ,ANKARA,GÖLBAŞI,338
UŞAK,BANAZ,ANKARA,GÜDÜL,352
UŞAK,BANAZ,ANKARA,HAYMANA,299
UŞAK,BANAZ,ANKARA,KAHRAMANKAZAN,
UŞAK,BANAZ,ANKARA,KALECİK,416
UŞAK,BANAZ,ANKARA,KEÇİÖREN,340
UŞAK,BANAZ,ANKARA,KIZILCAHAMAM,390
UŞAK,BANAZ,ANKARA,MAMAK,340
UŞAK,BANAZ,ANKARA,NALLIHAN,302
UŞAK,BANAZ,ANKARA,POLATLI,259
UŞAK,BANAZ,ANKARA,PURSAKLAR,362
UŞAK,BANAZ,ANKARA,SİNCAN,330
UŞAK,BANAZ,ANKARA,ŞEREFLİKOÇHİSAR,423
UŞAK,BANAZ,ANKARA,YENİMAHALLE,336
UŞAK,BANAZ,ANTALYA,AKSEKİ,
UŞAK,BANAZ,ANTALYA,AKSU,290
UŞAK,BANAZ,ANTALYA,ALANYA,406
UŞAK,BANAZ,ANTALYA,DEMRE,421
UŞAK,BANAZ,ANTALYA,DÖŞEMEALTI,279
UŞAK,BANAZ,ANTALYA,ELMALI,320
UŞAK,BANAZ,ANTALYA,FİNİKE,393
