sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
SİİRT,BAYKAN,ADANA,ALADAĞ,
SİİRT,BAYKAN,ADANA,CEYHAN,634
SİİRT,BAYKAN,ADANA,ÇUKUROVA,679
SİİRT,BAYKAN,ADANA,FEKE,747
SİİRT,BAYKAN,ADANA,İMAMOĞLU,675
SİİRT,BAYKAN,ADANA,KARAİSALI,749
SİİRT,BAYKAN,ADANA,KARATAŞ,731
SİİRT,BAYKAN,ADANA,KOZAN,701
SİİRT,BAYKAN,ADANA,POZANTI,771
SİİRT,BAYKAN,ADANA,SAİMBEYLİ,708
SİİRT,BAYKAN,ADANA,SARIÇAM,682
SİİRT,BAYKAN,ADANA,SEYHAN,679
SİİRT,BAYKAN,ADANA,TUFANBEYLİ,678
SİİRT,BAYKAN,ADANA,YUMURTALIK,665
SİİRT,BAYKAN,ADANA,YÜREĞİR,680
SİİRT,BAYKAN,ADIYAMAN,BESNİ,425
SİİRT,BAYKAN,ADIYAMAN,ÇELİKHAN,444
SİİRT,BAYKAN,ADIYAMAN,GERGER,500
SİİRT,BAYKAN,ADIYAMAN,GÖLBAŞI,444
SİİRT,BAYKAN,ADIYAMAN,KAHTA,329
SİİRT,BAYKAN,ADIYAMAN,MERKEZ,406
SİİRT,BAYKAN,ADIYAMAN,SAMSAT,455
SİİRT,BAYKAN,ADIYAMAN,SİNCİK,475
SİİRT,BAYKAN,ADIYAMAN,TUT,426
SİİRT,BAYKAN,AFYONKARAHİSAR,BAŞMAKÇI,
SİİRT,BAYKAN,AFYONKARAHİSAR,BAYAT,
SİİRT,BAYKAN,AFYONKARAHİSAR,BOLVADİN,1210
SİİRT,BAYKAN,AFYONKARAHİSAR,ÇAY,1195
SİİRT,BAYKAN,AFYONKARAHİSAR,ÇOBANLAR,1222
SİİRT,BAYKAN,AFYONKARAHİSAR,DAZKIRI,1332
SİİRT,BAYKAN,AFYONKARAHİSAR,DİNAR,1299
SİİRT,BAYKAN,AFYONKARAHİSAR,EMİRDAĞ,1240
SİİRT,BAYKAN,AFYONKARAHİSAR,EVCİLER,1327
SİİRT,BAYKAN,AFYONKARAHİSAR,HOCALAR,1344
SİİRT,BAYKAN,AFYONKARAHİSAR,İHSANİYE,1281
SİİRT,BAYKAN,AFYONKARAHİSAR,İSCEHİSAR,1262
SİİRT,BAYKAN,AFYONKARAHİSAR,KIZILÖREN,1309
SİİRT,BAYKAN,AFYONKARAHİSAR,MERKEZ,1240
SİİRT,BAYKAN,AFYONKARAHİSAR,SANDIKLI,1308
SİİRT,BAYKAN,AFYONKARAHİSAR,SİNANPAŞA,
SİİRT,BAYKAN,AFYONKARAHİSAR,SULTANDAĞI,1174
SİİRT,BAYKAN,AFYONKARAHİSAR,ŞUHUT,1245
SİİRT,BAYKAN,AĞRI,DİYADİN,283
SİİRT,BAYKAN,AĞRI,DOĞUBAYAZIT,330
SİİRT,BAYKAN,AĞRI,ELEŞKİRT,286
SİİRT,BAYKAN,AĞRI,HAMUR,270
SİİRT,BAYKAN,AĞRI,MERKEZ,332
SİİRT,BAYKAN,AĞRI,PATNOS,205
SİİRT,BAYKAN,AĞRI,TAŞLIÇAY,313
SİİRT,BAYKAN,AĞRI,TUTAK,244
SİİRT,BAYKAN,AMASYA,GÖYNÜCEK,864
SİİRT,BAYKAN,AMASYA,GÜMÜŞHACIKÖY,926
SİİRT,BAYKAN,AMASYA,HAMAMÖZÜ,949
SİİRT,BAYKAN,AMASYA,MERKEZ,
SİİRT,BAYKAN,AMASYA,MERZİFON,818
SİİRT,BAYKAN,AMASYA,SULUOVA,797
SİİRT,BAYKAN,AMASYA,TAŞOVA,742
SİİRT,BAYKAN,ANKARA,AKYURT,
SİİRT,BAYKAN,ANKARA,ALTINDAĞ,1161
SİİRT,BAYKAN,ANKARA,AYAŞ,
