sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
KARAMAN,AYRANCI,ADANA,ALADAĞ,
KARAMAN,AYRANCI,ADANA,CEYHAN,282
KARAMAN,AYRANCI,ADANA,ÇUKUROVA,233
KARAMAN,AYRANCI,ADANA,FEKE,355
KARAMAN,AYRANCI,ADANA,İMAMOĞLU,280
KARAMAN,AYRANCI,ADANA,KARAİSALI,357
KARAMAN,AYRANCI,ADANA,KARATAŞ,288
KARAMAN,AYRANCI,ADANA,KOZAN,306
KARAMAN,AYRANCI,ADANA,POZANTI,137
KARAMAN,AYRANCI,ADANA,SAİMBEYLİ,389
KARAMAN,AYRANCI,ADANA,SARIÇAM,264
KARAMAN,AYRANCI,ADANA,SEYHAN,239
KARAMAN,AYRANCI,ADANA,TUFANBEYLİ,332
KARAMAN,AYRANCI,ADANA,YUMURTALIK,313
KARAMAN,AYRANCI,ADANA,YÜREĞİR,239
KARAMAN,AYRANCI,ADIYAMAN,BESNİ,523
KARAMAN,AYRANCI,ADIYAMAN,ÇELİKHAN,574
KARAMAN,AYRANCI,ADIYAMAN,GERGER,663
KARAMAN,AYRANCI,ADIYAMAN,GÖLBAŞI,498
KARAMAN,AYRANCI,ADIYAMAN,KAHTA,596
KARAMAN,AYRANCI,ADIYAMAN,MERKEZ,
KARAMAN,AYRANCI,ADIYAMAN,SAMSAT,608
KARAMAN,AYRANCI,ADIYAMAN,SİNCİK,630
KARAMAN,AYRANCI,ADIYAMAN,TUT,530
KARAMAN,AYRANCI,AFYONKARAHİSAR,BAŞMAKÇI,450
KARAMAN,AYRANCI,AFYONKARAHİSAR,BAYAT,376
KARAMAN,AYRANCI,AFYONKARAHİSAR,BOLVADİN,336
KARAMAN,AYRANCI,AFYONKARAHİSAR,ÇAY,321
KARAMAN,AYRANCI,AFYONKARAHİSAR,ÇOBANLAR,350
KARAMAN,AYRANCI,AFYONKARAHİSAR,DAZKIRI,460
KARAMAN,AYRANCI,AFYONKARAHİSAR,DİNAR,433
KARAMAN,AYRANCI,AFYONKARAHİSAR,EMİRDAĞ,373
KARAMAN,AYRANCI,AFYONKARAHİSAR,EVCİLER,454
KARAMAN,AYRANCI,AFYONKARAHİSAR,HOCALAR,472
KARAMAN,AYRANCI,AFYONKARAHİSAR,İHSANİYE,407
KARAMAN,AYRANCI,AFYONKARAHİSAR,İSCEHİSAR,402
KARAMAN,AYRANCI,AFYONKARAHİSAR,KIZILÖREN,437
KARAMAN,AYRANCI,AFYONKARAHİSAR,MERKEZ,369
KARAMAN,AYRANCI,AFYONKARAHİSAR,SANDIKLI,435
KARAMAN,AYRANCI,AFYONKARAHİSAR,SİNANPAŞA,
