sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
BOLU,DÖRTDİVAN,ADANA,ALADAĞ,597
BOLU,DÖRTDİVAN,ADANA,CEYHAN,
BOLU,DÖRTDİVAN,ADANA,ÇUKUROVA,
BOLU,DÖRTDİVAN,ADANA,FEKE,747
BOLU,DÖRTDİVAN,ADANA,İMAMOĞLU,672
BOLU,DÖRTDİVAN,ADANA,KARAİSALI,750
BOLU,DÖRTDİVAN,ADANA,KARATAŞ,680
BOLU,DÖRTDİVAN,ADANA,KOZAN,698
BOLU,DÖRTDİVAN,ADANA,POZANTI,530
BOLU,DÖRTDİVAN,ADANA,SAİMBEYLİ,665
BOLU,DÖRTDİVAN,ADANA,SARIÇAM,628
BOLU,DÖRTDİVAN,ADANA,SEYHAN,631
BOLU,DÖRTDİVAN,ADANA,TUFANBEYLİ,584
BOLU,DÖRTDİVAN,ADANA,YUMURTALIK,704
BOLU,DÖRTDİVAN,ADANA,YÜREĞİR,632
BOLU,DÖRTDİVAN,ADIYAMAN,BESNİ,915
BOLU,DÖRTDİVAN,ADIYAMAN,ÇELİKHAN,
BOLU,DÖRTDİVAN,ADIYAMAN,GERGER,1055
BOLU,DÖRTDİVAN,ADIYAMAN,GÖLBAŞI,889
BOLU,DÖRTDİVAN,ADIYAMAN,KAHTA,987
BOLU,DÖRTDİVAN,ADIYAMAN,MERKEZ,
BOLU,DÖRTDİVAN,ADIYAMAN,SAMSAT,1002
BOLU,DÖRTDİVAN,ADIYAMAN,SİNCİK,1022
BOLU,DÖRTDİVAN,ADIYAMAN,TUT,922
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,BAŞMAKÇI,
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,BAYAT,
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,BOLVADİN,
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,ÇAY,
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,ÇOBANLAR,
BOLU,DÖRTDİVAN,AFYONKARAHİSAR,DAZKIRI,
